kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
8126558,K02259.01,1,CANDIDATE,1.0,12.19140405,15.443105,2.46,0.67,-0.41,0.023339,0.001287,-0.000725,0.9420000000000001,0.08,-0.073,5516,2.406116229329222,0.24363879652477274,-0.20088393683352512,2722,8126558,12.191,0.12,0.9935877796438729,0.01879969361060248,0.9998763496661348,0.12,0.8798911877061987
3734418,K02261.01,1,CANDIDATE,0.997,3.97599629,20.612434,1.11,0.07,-0.06,0.013018,0.000361,-0.000607,0.7659999999999999,0.033,-0.031,5143,1.091331001698968,0.05591371900620464,-0.06737999482955878,2724,3734418,3.976,0.00013,0.998735562335987,0.004797612304106324,0.9999938967571663,0.00013,0.9998638975505879
6200235,K02350.01,1,CANDIDATE,1.0,1.078389713,30.415829,1.98,0.55,-0.33,0.018374,0.003908,-0.002731,0.743,0.057,-0.052000000000000005,5325,1.4940873249748303,0.3378196166943997,-0.24545887635288366,3117,6200235,1.078,9.8e-05,0.9993664238956194,0.000491113328101683,0.999999688492078,9.8e-05,0.9999016885226057
1872821,K02351.01,1,CANDIDATE,1.0,10.27380957,17.77157,1.68,0.16,-0.08,0.017115000000000002,0.000889,-0.000476,0.862,0.042,-0.04,5806,1.6146099517052608,0.11499000537118456,-0.08735031070174057,3118,1872821,10.274,0.00057,0.9972582200766372,0.010670539182567043,0.999970346880334,0.00057,0.9994003637826123
12505654,K02353.01,1,CANDIDATE,1.0,5.186737262,17.147388,2.4,0.38,-0.17,0.028314,0.005363000000000001,-0.003533,0.797,0.061,-0.055,5230,2.46969319321042,0.5045352183817943,-0.35215500760877316,3122,12505654,5.187,0.35,0.9964694218897422,0.010741148391487978,0.9999615299616224,0.35,0.6499749944750546
5097868,K02435.01,1,CANDIDATE,1.0,6.80243431,12.355037,2.6,0.72,-0.22,0.029185000000000006,0.010173,-0.015735,0.9520000000000001,0.078,-0.071,5836,3.040745702869369,1.088797819284163,-1.6550191064058744,2822,5097868,6.802,0.99,0.976198257735419,0.032243155571342344,0.9991876522028527,0.99,0.009991876522028535
8570333,K02436.01,1,CANDIDATE,0.982,84.5733346,15.94036,2.59,0.58,-0.22,0.026709,0.001472,-0.0007650000000000001,0.8640000000000001,0.075,-0.068,5418,2.5255433430656935,0.25968423523970363,-0.21152294574309546,2823,8570333,84.573,0.00083,0.9968315606253387,0.10306382640881871,0.9996347684009181,0.00083,0.9988050715431454
5339567,K02440.01,1,CANDIDATE,0.9840000000000001,4.86638504,14.634054,1.32,0.2,-0.18,0.010894,0.000523,-0.000546,1.3419999999999999,0.062,-0.059000000000000004,5689,1.6000123778630755,0.10660439533976399,-0.10667177230287858,2861,5339567,4.866,0.0008,0.9906137833512537,0.018605192118552997,0.9998203709344312,0.0008,0.9990205146376836
9205907,K02528.01,1,CANDIDATE,0.997,12.02295362,16.464874,3.28,0.95,-0.32,0.034126,0.0006889999999999999,-0.008376,1.16,0.106,-0.095,5982,4.332382883211678,0.40543812594350337,-1.120986692520688,3220,9205907,12.023,0.33,0.9956719578697781,0.01492962893643046,0.9999341194886975,0.33,0.6699558600574272
8463346,K02529.01,1,CANDIDATE,0.982,16.79716262,18.140097,2.75,0.13,-0.12,0.036114,0.002134,-0.007434,0.657,0.034,-0.032,4652,2.59671579074377,0.20396715206212856,-0.5492883046915524,3221,8463346,16.797,0.002,0.9976703796512135,0.01164846309896363,0.999972479567235,0.002,0.9979725346081005
